Item_id,Quantity,Price_ht,Price_ttc,Transaction_id,Date,
11,0.485,8.388626,8.85,339910,2022-06-30T18:02:30Z,
65,0.445,7.364929,7.77,339910,2022-06-30T18:02:30Z,
